Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
1,1,Summer,Belconnen,34.40415,171.20415000000003,3.5,112.5,10,10,58.70415000000003,688.5,0.8321320175161503,138.8927520000002
1,1,Summer,Nth CBR & City,19.61421,186.81421,1.0499999999999998,135.05,3,3,51.76420999999999,688.5,0.8321320175161503,138.8927520000002
1,1,Summer,CBR East,0.49335000000000007,43.69335,0.35,17.35,1,1,26.34335,688.5,0.8321320175161503,138.8927520000002
1,1,Summer,South CBR,10.307220000000001,123.90722000000001,0.7,103.7,2,2,20.207220000000007,688.5,0.8321320175161503,138.8927520000002
1,1,Summer,Tugg,29.020530000000004,204.22053000000002,1.0499999999999998,134.05,3,3,70.17053000000001,688.5,0.8321320175161503,138.8927520000002
1,1,Summer,Gungahlin,27.098940000000002,87.89894000000001,1.0499999999999998,69.05,3,3,18.848940000000013,688.5,0.8321320175161503,138.8927520000002
1,1,Summer,Woden Valley,25.58688,101.58688000000001,2.8,79.8,8,8,21.78688000000001,688.5,0.8321320175161503,138.8927520000002
2,1,Winter,Belconnen,36.52035636363637,191.3385381818182,7.0,130.15151515151516,10,20,61.18702303030304,704.6666666666667,0.7512436034404867,233.33355515151516
2,1,Winter,Nth CBR & City,20.926816969696976,229.7510593939394,2.0999999999999996,127.82727272727273,3,6,101.92378666666669,704.6666666666667,0.7512436034404867,233.33355515151516
2,1,Winter,CBR East,0.5164913131313132,44.04376404040404,0.7,18.79090909090909,1,2,25.252854949494953,704.6666666666667,0.7512436034404867,233.33355515151516
2,1,Winter,South CBR,10.87991272727273,124.49203393939395,1.4,102.61212121212122,2,4,21.879912727272725,704.6666666666667,0.7512436034404867,233.33355515151516
2,1,Winter,Tugg,30.49651878787879,233.62379151515154,2.0999999999999996,151.22121212121212,3,6,82.40257939393942,704.6666666666667,0.7512436034404867,233.33355515151516
2,1,Winter,Gungahlin,28.51786101010102,97.89361858585859,2.0999999999999996,75.03939393939393,3,6,22.854224646464658,704.6666666666667,0.7512436034404867,233.33355515151516
2,1,Winter,Woden Valley,27.52208727272728,121.07966303030304,5.6,87.90303030303029,8,16,33.17663272727275,704.6666666666667,0.7512436034404867,233.33355515151516
3,2,Summer,Belconnen,38.6729687878788,180.87902939393942,10.5,123.13636363636364,10,30,57.74266575757578,720.8333333333334,0.833846069531781,143.63477375757589
3,2,Summer,Nth CBR & City,22.270384545454547,195.33705121212125,3.15,139.27121212121213,3,9,56.06583909090912,720.8333333333334,0.833846069531781,143.63477375757589
3,2,Summer,CBR East,0.5394619191919193,44.39400737373738,1.0499999999999998,18.292424242424243,1,3,26.101583131313138,720.8333333333334,0.833846069531781,143.63477375757589
3,2,Summer,South CBR,11.457617575757578,125.08186000000002,2.0999999999999996,105.1,2,6,19.981860000000026,720.8333333333334,0.833846069531781,143.63477375757589
3,2,Summer,Tugg,31.97349848484849,209.82804393939398,3.15,137.2409090909091,3,9,72.58713484848488,720.8333333333334,0.833846069531781,143.63477375757589
3,2,Summer,Gungahlin,29.941617373737383,94.99616282828285,3.15,71.4530303030303,3,9,23.543132525252545,720.8333333333334,0.833846069531781,143.63477375757589
3,2,Summer,Woden Valley,29.51911575757576,110.00396424242425,8.399999999999999,88.24848484848485,8,24,21.755479393939396,720.8333333333334,0.833846069531781,143.63477375757589
4,2,Winter,Belconnen,40.861987272727276,201.31653272727274,11.899999999999999,139.35454545454544,4,34,61.9619872727273,736.9999999999999,0.7545718880100655,239.71277145454553
4,2,Winter,Nth CBR & City,23.64491272727273,238.91764,4.199999999999999,133.38181818181818,3,12,105.53582181818183,736.9999999999999,0.7545718880100655,239.71277145454553
4,2,Winter,CBR East,0.5622618181818183,44.744080000000004,1.4,19.672727272727272,1,4,25.071352727272732,736.9999999999999,0.7545718880100655,239.71277145454553
4,2,Winter,South CBR,12.040334545454547,125.67669818181818,2.8,104.43636363636364,2,8,21.240334545454544,736.9999999999999,0.7545718880100655,239.71277145454553
4,2,Winter,Tugg,33.4514690909091,239.63328727272733,5.6,154.96363636363637,7,16,84.66965090909096,736.9999999999999,0.7545718880100655,239.71277145454553
4,2,Winter,Gungahlin,31.3702090909091,105.09748181818183,4.199999999999999,77.01818181818182,3,12,28.079300000000018,736.9999999999999,0.7545718880100655,239.71277145454553
4,2,Winter,Woden Valley,31.577965454545456,129.85069272727273,11.899999999999999,98.80909090909091,10,34,31.041601818181817,736.9999999999999,0.7545718880100655,239.71277145454553
5,3,Summer,Belconnen,43.08741181818182,190.69953303030303,13.299999999999999,129.57272727272726,4,38,61.12680575757577,753.1666666666667,0.834952851616515,148.88027551515142
5,3,Summer,Nth CBR & City,25.050401515151513,203.98373484848486,5.25,143.49242424242425,3,15,60.49131060606061,753.1666666666667,0.834952851616515,148.88027551515142
5,3,Summer,CBR East,0.5848910101010101,45.093981919191926,1.75,19.234848484848484,1,5,25.85913343434344,753.1666666666667,0.834952851616515,148.88027551515142
5,3,Summer,South CBR,12.628063636363635,126.27654848484849,3.5,106.5,2,10,19.77654848484849,753.1666666666667,0.834952851616515,148.88027551515142
5,3,Summer,Tugg,34.930430606060604,215.43952151515154,8.049999999999999,143.2318181818182,7,23,72.20770333333334,753.1666666666667,0.834952851616515,148.88027551515142
5,3,Summer,Gungahlin,32.80363616161617,102.11272707070708,5.25,73.85606060606061,3,15,28.25666646464647,753.1666666666667,0.834952851616515,148.88027551515142
5,3,Summer,Woden Valley,33.69863636363637,118.66833333333334,15.399999999999999,98.0969696969697,10,44,20.571363636363643,753.1666666666667,0.834952851616515,148.88027551515142
6,3,Winter,Belconnen,45.34924242424243,211.4401515151515,14.7,146.45757575757574,4,42,64.98257575757577,769.3333333333334,0.7572709155476443,246.59546775757588
6,3,Winter,Nth CBR & City,26.486850909090915,248.20806303030307,6.3,138.93636363636364,3,18,109.27169939393943,769.3333333333334,0.7572709155476443,246.59546775757588
6,3,Winter,CBR East,0.6073494949494951,45.44371313131313,2.0999999999999996,20.554545454545455,1,6,24.889167676767677,769.3333333333334,0.7572709155476443,246.59546775757588
6,3,Winter,South CBR,13.22080484848485,126.88141090909092,4.199999999999999,106.26060606060607,2,12,20.620804848484852,769.3333333333334,0.7572709155476443,246.59546775757588
6,3,Winter,Tugg,36.41038303030304,245.64674666666667,10.5,160.1060606060606,7,30,85.54068606060608,769.3333333333334,0.7572709155476443,246.59546775757588
6,3,Winter,Gungahlin,34.241898585858586,112.32068646464646,6.3,78.9969696969697,3,18,33.32371676767676,769.3333333333334,0.7572709155476443,246.59546775757588
6,3,Winter,Woden Valley,35.88112848484849,138.8690072727273,18.9,110.4151515151515,10,54,28.45385575757578,769.3333333333334,0.7572709155476443,246.59546775757588
7,4,Summer,Belconnen,47.647479090909094,200.66566090909092,18.2,138.1090909090909,10,52,62.55657000000002,785.5,0.8355234069394883,154.6292572727275
7,4,Summer,Nth CBR & City,27.954260909090912,212.75426090909093,7.35,147.71363636363637,3,21,65.04062454545456,785.5,0.8355234069394883,154.6292572727275
7,4,Summer,CBR East,0.6296372727272729,45.79327363636364,2.4499999999999997,20.177272727272726,1,7,25.61600090909091,785.5,0.8355234069394883,154.6292572727275
7,4,Summer,South CBR,13.818558181818185,127.49128545454548,4.8999999999999995,107.9,2,14,19.59128545454547,785.5,0.8355234069394883,154.6292572727275
7,4,Summer,Tugg,37.89132636363637,221.05496272727277,11.549999999999999,147.8227272727273,3,33,73.23223545454547,785.5,0.8355234069394883,154.6292572727275
