Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
1,1,Summer,Belconnen,109.0,2.8,111.8,8,8,25.000000000000014,686.75,0.9873907292385553,8.769999999999982
1,1,Summer,Nth CBR & City,134.0,0.7,134.7,2,2,32.50000000000003,686.75,0.9873907292385553,8.769999999999982
1,1,Summer,CBR East,17.0,0.35,17.35,1,1,25.85,686.75,0.9873907292385553,8.769999999999982
1,1,Summer,South CBR,103.0,0.35,103.35,1,1,10.250000000000014,686.75,0.9873907292385553,8.769999999999982
1,1,Summer,Tugg,133.0,1.0499999999999998,134.05,3,3,41.150000000000006,686.75,0.9873907292385553,8.769999999999982
1,1,Summer,Gungahlin,68.0,1.0499999999999998,69.05,3,3,-8.249999999999993,686.75,0.9873907292385553,8.769999999999982
1,1,Summer,Woden Valley,77.0,2.4499999999999997,79.45,7,7,-3.450000000000003,686.75,0.9873907292385553,8.769999999999982
2,1,Winter,Belconnen,123.15151515151516,5.6,128.75151515151515,8,16,26.066666666666663,701.1666666666667,0.8784808358030345,96.99151515151505
2,1,Winter,Nth CBR & City,125.72727272727273,1.4,127.12727272727274,2,4,81.6969696969697,701.1666666666667,0.8784808358030345,96.99151515151505
2,1,Winter,CBR East,18.09090909090909,0.7,18.79090909090909,1,2,24.73636363636364,701.1666666666667,0.8784808358030345,96.99151515151505
2,1,Winter,South CBR,101.21212121212122,0.7,101.91212121212122,1,2,11.700000000000003,701.1666666666667,0.8784808358030345,96.99151515151505
2,1,Winter,Tugg,149.12121212121212,2.0999999999999996,151.22121212121212,3,6,51.906060606060635,701.1666666666667,0.8784808358030345,96.99151515151505
2,1,Winter,Gungahlin,72.93939393939394,2.0999999999999996,75.03939393939393,3,6,-5.663636363636357,701.1666666666667,0.8784808358030345,96.99151515151505
2,1,Winter,Woden Valley,82.3030303030303,4.8999999999999995,87.2030303030303,7,14,6.354545454545459,701.1666666666667,0.8784808358030345,96.99151515151505
3,2,Summer,Belconnen,112.63636363636364,8.399999999999999,121.03636363636363,8,24,21.169696969696986,715.5833333333334,0.9986775507580293,0.9475757575758053
3,2,Summer,Nth CBR & City,136.12121212121212,2.0999999999999996,138.22121212121212,2,6,34.84545454545457,715.5833333333334,0.9986775507580293,0.9475757575758053
3,2,Summer,CBR East,17.242424242424242,1.0499999999999998,18.292424242424243,1,3,25.562121212121216,715.5833333333334,0.9986775507580293,0.9475757575758053
3,2,Summer,South CBR,103.0,1.0499999999999998,104.05,1,3,9.574242424242442,715.5833333333334,0.9986775507580293,0.9475757575758053
3,2,Summer,Tugg,134.0909090909091,3.15,137.2409090909091,3,9,40.613636363636374,715.5833333333334,0.9986775507580293,0.9475757575758053
3,2,Summer,Gungahlin,68.3030303030303,3.15,71.4530303030303,3,9,-6.398484848484841,715.5833333333334,0.9986775507580293,0.9475757575758053
3,2,Summer,Woden Valley,79.84848484848484,7.35,87.19848484848484,7,21,-6.713636363636354,715.5833333333334,0.9986775507580293,0.9475757575758053
4,2,Winter,Belconnen,127.45454545454545,11.2,138.65454545454546,8,32,21.80000000000001,729.9999999999999,0.8896422596691813,90.55454545454575
