Year,District,Baseline Power Consumption (kW),Power Consumption from Chargers (kW),Total Power Consumption (kW),Chargers Added This Year,Total Chargers Placed,Buffer,Spare Capacity (kW)
1,Belconnen,109.0,2.75,111.75,11.0,11.0,0.4944690265486726,114.25
1,Nth CBR & City,134.0,1.5,135.5,6.0,6.0,0.5132575757575758,128.5
1,CBR East,17.0,0.0,17.0,0.0,0.0,0.3148148148148148,37.0
1,South CBR,103.0,0.75,103.75,3.0,3.0,0.9100877192982456,10.25
1,Tugg,133.0,2.25,135.25,9.0,9.0,0.617579908675799,83.75
1,Gungahlin,68.0,2.25,70.25,9.0,9.0,0.5362595419847328,60.75
1,Woden Valley,77.0,2.0,79.0,8.0,8.0,0.5266666666666666,71.0
2,Belconnen,113.28571428571429,5.5,118.78571428571429,11.0,22.0,0.5256005056890013,107.21428571428571
2,Nth CBR & City,136.5,3.0,139.5,6.0,12.0,0.5284090909090909,124.5
2,CBR East,17.285714285714285,0.0,17.285714285714285,0.0,0.0,0.32010582010582006,36.714285714285715
2,South CBR,103.0,1.5,104.5,3.0,6.0,0.9166666666666666,9.5
2,Tugg,134.28571428571428,4.5,138.78571428571428,9.0,18.0,0.6337247227658186,80.21428571428572
2,Gungahlin,68.35714285714286,4.5,72.85714285714286,9.0,18.0,0.5561613958560524,58.14285714285714
2,Woden Valley,80.35714285714286,4.25,84.60714285714286,9.0,17.0,0.564047619047619,65.39285714285714
3,Belconnen,117.57142857142857,8.25,125.82142857142857,11.0,33.0,0.55673198482933,100.17857142857143
3,Nth CBR & City,139.0,4.5,143.5,6.0,18.0,0.5435606060606061,120.5
3,CBR East,17.571428571428573,0.0,17.571428571428573,0.0,0.0,0.3253968253968254,36.42857142857143
3,South CBR,103.0,2.25,105.25,3.0,9.0,0.9232456140350878,8.75
3,Tugg,135.57142857142858,6.75,142.32142857142858,9.0,27.0,0.6498695368558383,76.67857142857142
3,Gungahlin,68.71428571428571,6.5,75.21428571428571,8.0,26.0,0.5741548527808069,55.78571428571429
3,Woden Valley,83.71428571428571,6.5,90.21428571428571,9.0,26.0,0.6014285714285714,59.78571428571429
4,Belconnen,121.85714285714286,11.0,132.85714285714286,11.0,44.0,0.5878634639696587,93.14285714285714
4,Nth CBR & City,141.5,6.0,147.5,6.0,24.0,0.5587121212121212,116.5
4,CBR East,17.857142857142858,0.0,17.857142857142858,0.0,0.0,0.3306878306878307,36.14285714285714
4,South CBR,103.0,3.0,106.0,3.0,12.0,0.9298245614035088,8.0
4,Tugg,136.85714285714286,9.0,145.85714285714286,9.0,36.0,0.6660143509458578,73.14285714285714
4,Gungahlin,69.07142857142857,8.5,77.57142857142857,8.0,34.0,0.5921483097055616,53.42857142857143
4,Woden Valley,87.07142857142857,8.75,95.82142857142857,9.0,35.0,0.6388095238095238,54.17857142857143
5,Belconnen,126.14285714285714,13.75,139.89285714285714,11.0,55.0,0.6189949431099874,86.10714285714286
